slate_date,win_score,rank20_score,rank1_to_rank20_gap,perfect_score,our_score,sim_heuristic_score,gap_to_winner,gap_to_perfect,projection_loss,construction_loss_extra,proj_rmse,proj_bias,overlap_with_winner,chalk_picks,median_drafts,n_menu,n_with_score,our_pids,win_pids,perfect_pids,sim_pids,source,flag,ev,skip_reason
2025-09-05,60.41,54.85,5.559999999999995,67.37111082684706,25.380905014044476,25.380905014044476,35.029094985955524,41.990205812802586,41.990205812802586,0.0,1.1243233885402673,0.7670499355198073,0.0,1.0,285.0,30.0,30.0,"[4322755, 716, 700, 449, 719]","[616, 718, 705, 563, 613]","[616, 563, 647, 760, 4322755]","[4322755, 716, 700, 449, 719]",SIM,sim,,
2025-09-09,52.85,46.84,6.009999999999998,71.92364466256643,59.26545976033176,59.26545976033176,-6.415459760331757,12.658184902234673,12.658184902234673,0.0,1.3065230840475202,-0.7551212945720046,1.0,1.0,173.0,35.0,35.0,"[698, 716, 714, 8, 373]","[745, 758, 705, 4322797, 698]","[714, 4322797, 698, 399, 628]","[698, 716, 714, 8, 373]",SIM,sim,,
2025-09-16,46.05,,,46.9660382675106,25.13932782007244,25.13932782007244,20.910672179927555,21.826710447438156,21.826710447438156,0.0,0.9453974492177376,0.7617307476093825,0.0,0.0,161.0,28.0,28.0,"[4322755, 4322756, 699, 594, 603]","[598, 597, 734, 4322742, 629]","[4322742, 734, 738, 597, 629]","[4322755, 4322756, 699, 594, 603]",SIM,sim,,
2025-09-21,43.92,40.65,3.270000000000003,48.661142917865234,25.75714710489291,25.75714710489291,18.162852895107093,22.903995812972326,22.903995812972326,0.0,1.1001964298360447,0.7340793423475452,0.0,0.0,171.5,28.0,28.0,"[698, 8, 699, 456, 373]","[626, 660, 760, 654, 745]","[654, 698, 626, 172, 760]","[698, 8, 699, 456, 373]",SIM,sim,,
2025-09-30,56.83,,,52.88135377916506,11.483863036703546,11.483863036703546,45.34613696329645,41.397490742461514,41.397490742461514,0.0,1.5205528251943201,1.3942411023304064,0.0,0.0,161.0,18.0,18.0,"[698, 599, 699, 4322751, 4322756]","[598, 597, 602, 172, 760]","[597, 598, 172, 760, 599]","[698, 599, 699, 4322751, 4322756]",SIM,sim,,
2025-10-10,46.52,,,40.23883276664186,16.122208582026687,16.122208582026687,30.397791417973316,24.116624184615176,24.116624184615176,0.0,1.244974032573558,1.1481221720243773,0.0,0.0,147.0,19.0,19.0,"[698, 594, 373, 456, 599]","[598, 602, 597, 670, 4322738]","[602, 598, 670, 4322738, 599]","[698, 594, 373, 456, 599]",SIM,sim,,
2026-05-12,65.06,62.96,2.1000000000000014,66.92796772132824,49.771604459048106,49.771604459048106,15.288395540951896,17.156363262280138,17.156363262280138,0.0,1.2795647855278596,-0.2732940607952788,2.0,1.0,276.0,31.0,31.0,"[687, 670, 760, 4322792, 765]","[643, 606, 449, 670, 760]","[670, 606, 760, 663, 643]","[687, 670, 760, 4322792, 765]",SIM,sim,,
2026-05-17,57.85,,,68.00699033587492,60.77543300694732,60.77543300694732,-2.9254330069473156,7.2315573289276,7.2315573289276,0.0,0.9508857647790053,-0.8312875497229918,2.0,0.0,88.5,36.0,36.0,"[709, 652, 4322861, 4322755, 4322865]","[602, 685, 677, 4322861, 4322755]","[602, 4322755, 4322861, 679, 4322865]","[709, 652, 4322861, 4322755, 4322865]",SIM,sim,,
2026-05-21,57.9,46.61,11.29,67.88592937423867,60.61879414692027,60.61879414692027,-2.718794146920274,7.2671352273183984,7.2671352273183984,0.0,1.111566135477822,-0.7892547039449029,4.0,0.0,191.0,31.0,31.0,"[399, 563, 725, 682, 714]","[682, 563, 725, 639, 399]","[563, 725, 718, 682, 399]","[399, 563, 725, 682, 714]",SIM,sim,,
2026-05-25,40.6,38.3,2.3000000000000043,49.73301163157268,35.66579740375253,35.66579740375253,4.934202596247474,14.067214227820152,14.067214227820152,0.0,0.5735545194559778,0.32589320418443857,0.0,1.0,206.0,32.0,32.0,"[749, 4322872, 4322749, 336, 553]","[687, 643, 4322748, 303, 399]","[687, 643, 553, 615, 399]","[749, 4322872, 4322749, 336, 553]",SIM,sim,,
2026-05-28,53.13,49.91,3.220000000000006,60.209462266134,35.491832621633776,47.1646195822389,17.638167378366227,24.71762964450022,13.044842683895098,11.672786960605123,0.9948803806677137,0.3228731480718701,1.0,0.0,173.5,30.0,30.0,"[765, 657, 608, 4322862, 4322893]","[4322856, 184, 653, 759, 765]","[4322862, 4322797, 653, 759, 4322756]","[726, 4322862, 4322756, 765, 608]",LIVE_SCREENSHOT_528,enter_with_caveat,,
